Fixed/Offset Slit,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

609.500,1.51475977E+4,1.49244336E+4,1.55388242E+4,1.61229082E+4,1.61339277E+4,1.66078066E+4,1.65471953E+4,1.70568906E+4,1.71781152E+4,1.75610742E+4,1.76464844E+4,1.86052617E+4,1.92086328E+4,1.97293477E+4,2.06164922E+4,2.07184316E+4,2.14512930E+4,2.23163965E+4,2.21097637E+4,2.23797637E+4,2.26690508E+4,2.32531328E+4,2.32724180E+4,2.38289531E+4,2.47353828E+4,2.49254863E+4,2.59558965E+4,2.62176328E+4,2.70662090E+4,2.69009004E+4,2.80112109E+4,2.78266172E+4,2.82233535E+4,2.74822285E+4,
610.00,1.48379961E+4,1.49708750E+4,1.51618867E+4,1.53584336E+4,1.58567266E+4,1.64546758E+4,1.62775059E+4,1.68726855E+4,1.74927813E+4,1.74761719E+4,1.79606211E+4,1.83066563E+4,1.88741543E+4,1.90070313E+4,1.99620898E+4,2.08396367E+4,2.08147207E+4,2.15289375E+4,2.16064512E+4,2.16507422E+4,2.20936680E+4,2.22043984E+4,2.28328008E+4,2.36937344E+4,2.39207344E+4,2.39013555E+4,2.54294492E+4,2.53436328E+4,2.64260313E+4,2.72620527E+4,2.69021758E+4,2.73589414E+4,2.78710742E+4,2.60301660E+4,
610.500,1.49375078E+4,1.45286035E+4,1.50153945E+4,1.57135898E+4,1.60585166E+4,1.55383457E+4,1.63339004E+4,1.70320977E+4,1.66676992E+4,1.76273730E+4,1.77163848E+4,1.85397559E+4,1.84479609E+4,1.87789785E+4,2.04090293E+4,2.08596602E+4,2.05926191E+4,2.09820527E+4,2.12602168E+4,2.13714844E+4,2.16830293E+4,2.17497910E+4,2.22588320E+4,2.36802617E+4,2.33798418E+4,2.43339512E+4,2.48263047E+4,2.55189375E+4,2.62282578E+4,2.59667852E+4,2.67651211E+4,2.69459297E+4,2.68430059E+4,2.57998867E+4,
611.00,1.41136602E+4,1.44910313E+4,1.46280020E+4,1.47034766E+4,1.53240410E+4,1.55504648E+4,1.59557871E+4,1.64505625E+4,1.65679668E+4,1.71410117E+4,1.76721250E+4,1.77084648E+4,1.88629395E+4,1.84995449E+4,1.94024395E+4,2.03808086E+4,1.98860332E+4,2.05401406E+4,2.14262637E+4,2.13815391E+4,2.16946172E+4,2.16415039E+4,2.17197734E+4,2.24689258E+4,2.33830000E+4,2.40930156E+4,2.44592051E+4,2.49092539E+4,2.55661582E+4,2.60525508E+4,2.57869883E+4,2.60497520E+4,2.61475898E+4,2.50546133E+4,
611.500,1.41593262E+4,1.40722354E+4,1.44402656E+4,1.48869590E+4,1.49937158E+4,1.54881680E+4,1.60472363E+4,1.66428262E+4,1.65697832E+4,1.69940000E+4,1.75418320E+4,1.78002969E+4,1.81289961E+4,1.89268633E+4,1.89296719E+4,1.95308809E+4,1.99101484E+4,2.01489453E+4,2.04607891E+4,2.09833359E+4,2.12755117E+4,2.17250156E+4,2.12502266E+4,2.20424746E+4,2.36859688E+4,2.32308477E+4,2.38067715E+4,2.45259766E+4,2.47535371E+4,2.58997676E+4,2.54502656E+4,2.59756211E+4,2.60205703E+4,2.47788203E+4,
612.00,1.37237637E+4,1.41953418E+4,1.43308857E+4,1.45793809E+4,1.48137588E+4,1.51695605E+4,1.54406475E+4,1.55987813E+4,1.65334648E+4,1.62849697E+4,1.70191621E+4,1.72422441E+4,1.79481992E+4,1.82079902E+4,1.86823906E+4,1.98712207E+4,1.98458066E+4,2.00434727E+4,2.04162168E+4,2.05263477E+4,2.06421230E+4,2.15429219E+4,2.12492441E+4,2.20314414E+4,2.25679688E+4,2.29633027E+4,2.36890254E+4,2.40081172E+4,2.39657578E+4,2.47592539E+4,2.59113711E+4,2.58323047E+4,2.54397930E+4,2.38076250E+4,
612.500,1.40141758E+4,1.38410215E+4,1.43349375E+4,1.42128789E+4,1.50389121E+4,1.52007129E+4,1.56520498E+4,1.58479121E+4,1.55725684E+4,1.62907344E+4,1.75652676E+4,1.75226875E+4,1.81528594E+4,1.81556953E+4,1.86921914E+4,1.91804316E+4,1.90299844E+4,1.97084121E+4,2.05457988E+4,2.04492871E+4,2.06565039E+4,2.08949473E+4,2.12582891E+4,2.16102734E+4,2.23483105E+4,2.25810762E+4,2.31118945E+4,2.40287637E+4,2.40316016E+4,2.46873184E+4,2.50932383E+4,2.47270586E+4,2.45652578E+4,2.32964043E+4,
613.00,1.40742207E+4,1.37546113E+4,1.43110732E+4,1.38801729E+4,1.46107070E+4,1.48418535E+4,1.49845361E+4,1.56123398E+4,1.59205352E+4,1.65797285E+4,1.65140938E+4,1.74443848E+4,1.73330938E+4,1.81235566E+4,1.84089219E+4,1.89454082E+4,1.95047246E+4,1.94904551E+4,2.01724805E+4,2.01953086E+4,2.06090879E+4,2.02752109E+4,2.11626973E+4,2.18047695E+4,2.17591094E+4,2.20815742E+4,2.26779863E+4,2.34827168E+4,2.38536934E+4,2.35169609E+4,2.44872031E+4,2.44244238E+4,2.36225469E+4,2.34284980E+4,
613.500,1.32314434E+4,1.33060352E+4,1.38769492E+4,1.40691670E+4,1.43933545E+4,1.40548223E+4,1.46027852E+4,1.50044336E+4,1.52827188E+4,1.59425693E+4,1.63642988E+4,1.67372598E+4,1.69438203E+4,1.71389082E+4,1.79938438E+4,1.88573887E+4,1.91069844E+4,1.91299355E+4,1.97295391E+4,1.94283027E+4,2.02430742E+4,2.00565957E+4,2.05471797E+4,2.14049863E+4,2.14566270E+4,2.18726191E+4,2.27275566E+4,2.28767402E+4,2.34476563E+4,2.37603672E+4,2.40214375E+4,2.42968535E+4,2.38665176E+4,2.26730488E+4,
614.00,1.35541602E+4,1.34243594E+4,1.34560879E+4,1.34128203E+4,1.38685684E+4,1.43618145E+4,1.43445068E+4,1.52185039E+4,1.55906016E+4,1.55156055E+4,1.65424785E+4,1.61934561E+4,1.68568867E+4,1.73645547E+4,1.82241289E+4,1.82529727E+4,1.89164043E+4,1.87635254E+4,1.92365801E+4,1.92394648E+4,1.94961836E+4,2.01711523E+4,2.03586426E+4,2.05865156E+4,2.09759199E+4,2.15153184E+4,2.19941406E+4,2.24960410E+4,2.35373359E+4,2.31392773E+4,2.33758047E+4,2.35604121E+4,2.33613828E+4,2.22970117E+4,
614.500,1.31736895E+4,1.28691465E+4,1.33419141E+4,1.33825195E+4,1.39800059E+4,1.41946367E+4,1.44266699E+4,1.47950225E+4,1.54273125E+4,1.55143252E+4,1.63844492E+4,1.61234121E+4,1.62684336E+4,1.71066543E+4,1.79883789E+4,1.82813223E+4,1.88295000E+4,1.86786797E+4,1.90354297E+4,1.94762930E+4,1.95720078E+4,1.93138711E+4,2.00389746E+4,2.02768086E+4,2.09613066E+4,2.10802227E+4,2.14079707E+4,2.23825117E+4,2.23999141E+4,2.29799961E+4,2.26174434E+4,2.30467070E+4,2.28407773E+4,2.15065859E+4,
615.00,1.29468809E+4,1.30197949E+4,1.32706250E+4,1.39093652E+4,1.43439414E+4,1.40201973E+4,1.36381191E+4,1.44722734E+4,1.51780957E+4,1.57322539E+4,1.55922549E+4,1.60676660E+4,1.62047461E+4,1.71293145E+4,1.76368086E+4,1.79897188E+4,1.84009609E+4,1.87859551E+4,1.86022090E+4,1.87159570E+4,1.92730313E+4,1.99496875E+4,2.02675996E+4,1.99992695E+4,2.06642598E+4,2.12650840E+4,2.13292500E+4,2.15304961E+4,2.14925801E+4,2.22742344E+4,2.25104805E+4,2.27554766E+4,2.25571465E+4,2.06759258E+4,
615.500,1.31688848E+4,1.24561807E+4,1.35706963E+4,1.32304766E+4,1.32480742E+4,1.39167832E+4,1.38082637E+4,1.46558828E+4,1.51691465E+4,1.50400977E+4,1.56090879E+4,1.58143926E+4,1.60050332E+4,1.70051641E+4,1.73835156E+4,1.77765273E+4,1.80023633E+4,1.87942578E+4,1.84423047E+4,1.82018047E+4,1.90083613E+4,1.94131055E+4,1.99498340E+4,2.03516445E+4,2.05305547E+4,2.04337676E+4,2.10848809E+4,2.16216074E+4,2.19031680E+4,2.25014883E+4,2.23372441E+4,2.24281641E+4,2.20527500E+4,2.08003848E+4,
616.00,1.25490371E+4,1.25785293E+4,1.27967734E+4,1.30651543E+4,1.32450586E+4,1.38997910E+4,1.40266094E+4,1.45220820E+4,1.46695430E+4,1.46518477E+4,1.52741387E+4,1.55454707E+4,1.62680352E+4,1.62945781E+4,1.68519844E+4,1.70141934E+4,1.81850449E+4,1.81761953E+4,1.83148105E+4,1.81968418E+4,1.89695430E+4,1.91553457E+4,1.96301738E+4,2.02377188E+4,2.02111758E+4,2.05827813E+4,2.09661816E+4,2.15766758E+4,2.13318887E+4,2.17300352E+4,2.19394336E+4,2.20603516E+4,2.14852500E+4,2.00135762E+4,
616.500,1.25705137E+4,1.26238916E+4,1.27721650E+4,1.32822188E+4,1.32525664E+4,1.33178047E+4,1.37477949E+4,1.42400586E+4,1.45366025E+4,1.47323223E+4,1.53639609E+4,1.56397471E+4,1.59392578E+4,1.63633154E+4,1.65768281E+4,1.73626699E+4,1.79320352E+4,1.84302285E+4,1.82137520E+4,1.85636758E+4,1.87327051E+4,1.88424258E+4,1.92397969E+4,1.97290938E+4,1.95126172E+4,1.99574336E+4,2.05267988E+4,2.07492070E+4,2.09894063E+4,2.15676699E+4,2.15854609E+4,2.13867773E+4,2.14787070E+4,1.96905430E+4,
617.00,1.21941504E+4,1.22180020E+4,1.27367754E+4,1.33300840E+4,1.31422529E+4,1.36252480E+4,1.36133242E+4,1.43050215E+4,1.41947070E+4,1.45614258E+4,1.54349922E+4,1.55810820E+4,1.55095283E+4,1.59060625E+4,1.69823672E+4,1.71195137E+4,1.76263613E+4,1.79095996E+4,1.73669746E+4,1.79781738E+4,1.83955762E+4,1.83299844E+4,1.87145918E+4,1.95851758E+4,2.00413398E+4,1.98117676E+4,2.03335234E+4,2.03752617E+4,2.09268320E+4,2.09059609E+4,2.14784004E+4,2.11802539E+4,2.07688145E+4,1.96507695E+4,
617.500,1.20669521E+4,1.21988311E+4,1.27533242E+4,1.27563213E+4,1.29061836E+4,1.35236172E+4,1.36315195E+4,1.38832891E+4,1.36674863E+4,1.43478633E+4,1.49143447E+4,1.44467734E+4,1.59513965E+4,1.59454004E+4,1.66197832E+4,1.69704629E+4,1.69015254E+4,1.72911680E+4,1.78007031E+4,1.75339473E+4,1.83521973E+4,1.85410234E+4,1.89576445E+4,1.89456543E+4,1.91284863E+4,1.99287539E+4,1.97369297E+4,2.06540898E+4,2.04442813E+4,2.06690762E+4,2.14663477E+4,2.03813398E+4,2.03004141E+4,1.93982402E+4,
618.00,1.17296123E+4,1.20700820E+4,1.25883184E+4,1.23563164E+4,1.24858760E+4,1.26425508E+4,1.35976719E+4,1.35735684E+4,1.40827656E+4,1.39562197E+4,1.45196523E+4,1.46582500E+4,1.56404863E+4,1.54597080E+4,1.66076602E+4,1.68306230E+4,1.74181582E+4,1.74633535E+4,1.73337930E+4,1.76441328E+4,1.78068359E+4,1.79032520E+4,1.82617988E+4,1.88463203E+4,1.91325547E+4,1.94368691E+4,1.94459082E+4,2.05245625E+4,2.03046113E+4,2.07023301E+4,2.08047695E+4,2.05486660E+4,2.05787969E+4,1.91747383E+4,
618.500,1.17247305E+4,1.16187207E+4,1.16611250E+4,1.22790127E+4,1.27454580E+4,1.27484863E+4,1.32300762E+4,1.30846914E+4,1.36541172E+4,1.38297910E+4,1.45082568E+4,1.43446973E+4,1.52442695E+4,1.54078291E+4,1.62044189E+4,1.63861523E+4,1.69252891E+4,1.70888477E+4,1.71706270E+4,1.78460645E+4,1.78824102E+4,1.83094805E+4,1.86850605E+4,1.87456367E+4,1.87668398E+4,1.89758301E+4,1.93574668E+4,1.96482383E+4,1.98602578E+4,2.03903086E+4,2.01692031E+4,2.01480000E+4,1.95785742E+4,1.88062148E+4,
619.00,1.15979990E+4,1.15371006E+4,1.20364629E+4,1.19816553E+4,1.17898271E+4,1.27976875E+4,1.26149941E+4,1.30991309E+4,1.35954482E+4,1.36533018E+4,1.43109990E+4,1.45880840E+4,1.44632441E+4,1.54741484E+4,1.60374531E+4,1.66890605E+4,1.67834512E+4,1.67377793E+4,1.68382598E+4,1.75629453E+4,1.78187148E+4,1.76877852E+4,1.83058984E+4,1.85829844E+4,1.84794570E+4,1.93837891E+4,1.93137578E+4,1.95695293E+4,1.97796270E+4,1.94720938E+4,2.01145664E+4,1.96030234E+4,1.90518965E+4,1.83211230E+4,
619.500,1.12710742E+4,1.11792402E+4,1.16445313E+4,1.22475742E+4,1.19812559E+4,1.24955254E+4,1.31322402E+4,1.30220391E+4,1.33128457E+4,1.39342559E+4,1.41026172E+4,1.40383340E+4,1.51464629E+4,1.51648291E+4,1.60066406E+4,1.60923516E+4,1.64902969E+4,1.68943672E+4,1.70657910E+4,1.73259863E+4,1.73810859E+4,1.76106719E+4,1.78708672E+4,1.80147402E+4,1.86147207E+4,1.87341055E+4,1.92177637E+4,1.89055293E+4,1.94259199E+4,1.97871328E+4,1.92055195E+4,1.95422422E+4,1.96952988E+4,1.78433164E+4,
620.00,1.11935234E+4,1.14366602E+4,1.16613311E+4,1.22676338E+4,1.24092070E+4,1.22922559E+4,1.28862480E+4,1.28431602E+4,1.29970449E+4,1.31878604E+4,1.35048613E+4,1.45051074E+4,1.47328555E+4,1.43943115E+4,1.53853242E+4,1.58192773E+4,1.63086289E+4,1.64286582E+4,1.69734082E+4,1.68226016E+4,1.67487363E+4,1.77274395E+4,1.71796113E+4,1.79182559E+4,1.81429258E+4,1.86415098E+4,1.86845977E+4,1.87092188E+4,1.90539180E+4,1.86815195E+4,1.93524531E+4,1.86322773E+4,1.91431719E+4,1.79551875E+4,
620.500,1.09365098E+4,1.11283789E+4,1.18494336E+4,1.18587178E+4,1.19422734E+4,1.20815322E+4,1.21465195E+4,1.27933027E+4,1.32544063E+4,1.32017969E+4,1.38423906E+4,1.37464570E+4,1.44087119E+4,1.49533730E+4,1.54980313E+4,1.60891104E+4,1.63459668E+4,1.62593164E+4,1.68132598E+4,1.72031855E+4,1.68132578E+4,1.66461484E+4,1.72465117E+4,1.81934746E+4,1.77942656E+4,1.84131953E+4,1.86700508E+4,1.85555508E+4,1.90847344E+4,1.86360117E+4,1.89021523E+4,1.86205371E+4,1.87536074E+4,1.79768496E+4,
621.00,1.08579688E+4,1.10229082E+4,1.12532002E+4,1.16235352E+4,1.16141992E+4,1.19347402E+4,1.24855742E+4,1.26629629E+4,1.27781094E+4,1.32137969E+4,1.33694004E+4,1.35405625E+4,1.43745947E+4,1.46111104E+4,1.54949346E+4,1.58839424E+4,1.59492959E+4,1.58154766E+4,1.66059395E+4,1.71443242E+4,1.70354023E+4,1.65748184E+4,1.71038672E+4,1.77605117E+4,1.77698496E+4,1.81619688E+4,1.82366582E+4,1.86225527E+4,1.87345859E+4,1.85478633E+4,1.88372852E+4,1.89711035E+4,1.79690195E+4,1.74866523E+4,
621.500,1.08730479E+4,1.07916719E+4,1.10389287E+4,1.12142002E+4,1.17337520E+4,1.16492471E+4,1.22470449E+4,1.25568984E+4,1.22846035E+4,1.31672168E+4,1.36304326E+4,1.39684551E+4,1.46351094E+4,1.44535801E+4,1.57430713E+4,1.53956592E+4,1.62438457E+4,1.59402520E+4,1.61280410E+4,1.62250654E+4,1.62219365E+4,1.63784277E+4,1.69918770E+4,1.71546270E+4,1.77680762E+4,1.80904473E+4,1.80873184E+4,1.82751074E+4,1.82876270E+4,1.89323730E+4,1.86412988E+4,1.84566387E+4,1.83345762E+4,1.73705859E+4,
622.00,1.07151191E+4,1.08725098E+4,1.13793057E+4,1.11085947E+4,1.16468691E+4,1.18735117E+4,1.19333193E+4,1.23393857E+4,1.27485996E+4,1.28147031E+4,1.36520195E+4,1.37968184E+4,1.39605039E+4,1.42721367E+4,1.47663408E+4,1.51535215E+4,1.55879180E+4,1.59152891E+4,1.56540215E+4,1.64094941E+4,1.65007813E+4,1.68942559E+4,1.67557520E+4,1.69918379E+4,1.71712617E+4,1.72877305E+4,1.79204414E+4,1.76119551E+4,1.85468516E+4,1.81691172E+4,1.78826660E+4,1.77536055E+4,1.79676563E+4,1.64031992E+4,
622.500,1.04754619E+4,1.08490205E+4,1.12130820E+4,1.11022813E+4,1.17480938E+4,1.15359883E+4,1.17639219E+4,1.17639219E+4,1.27231436E+4,1.29257520E+4,1.30207246E+4,1.37551777E+4,1.41762227E+4,1.39894434E+4,1.48916816E+4,1.53855391E+4,1.56989473E+4,1.60281855E+4,1.61009980E+4,1.63795840E+4,1.61009980E+4,1.67056563E+4,1.66993242E+4,1.68417832E+4,1.73356406E+4,1.75129219E+4,1.77408555E+4,1.77725137E+4,1.83803359E+4,1.82758672E+4,1.81492383E+4,1.80700938E+4,1.80510977E+4,1.66929922E+4,
623.00,1.02382451E+4,1.03337510E+4,1.09768252E+4,1.10882490E+4,1.12219570E+4,1.14002354E+4,1.19382529E+4,1.20592266E+4,1.27150352E+4,1.24890039E+4,1.31830137E+4,1.34631660E+4,1.36828301E+4,1.42399473E+4,1.47620479E+4,1.51186035E+4,1.54942598E+4,1.55133613E+4,1.60768457E+4,1.59654238E+4,1.62901426E+4,1.67294707E+4,1.68568125E+4,1.65989453E+4,1.69332168E+4,1.73311582E+4,1.73438926E+4,1.74871523E+4,1.78723594E+4,1.76622461E+4,1.72611211E+4,1.73152422E+4,1.73661777E+4,1.63347129E+4,
623.500,1.01986641E+4,1.06052021E+4,1.05667891E+4,1.07940664E+4,1.14438877E+4,1.12102080E+4,1.16743652E+4,1.19912734E+4,1.27243223E+4,1.23241865E+4,1.30604375E+4,1.36430352E+4,1.37710781E+4,1.40207627E+4,1.43856865E+4,1.49170674E+4,1.50835234E+4,1.49586816E+4,1.53364102E+4,1.55412793E+4,1.60566543E+4,1.61975029E+4,1.68281172E+4,1.69529590E+4,1.71034102E+4,1.70617969E+4,1.71834375E+4,1.72218496E+4,1.75803711E+4,1.72986758E+4,1.74363223E+4,1.72890742E+4,1.71770352E+4,1.61142754E+4,
624.00,1.01674551E+4,1.03122900E+4,1.06083984E+4,1.06470215E+4,1.08884141E+4,1.09624404E+4,1.13551055E+4,1.21211250E+4,1.20406611E+4,1.24526387E+4,1.28356475E+4,1.29128926E+4,1.31864707E+4,1.34922344E+4,1.43483740E+4,1.50982998E+4,1.52753223E+4,1.54813096E+4,1.56905166E+4,1.53042881E+4,1.59640957E+4,1.56840791E+4,1.65434375E+4,1.65273438E+4,1.59769697E+4,1.67043652E+4,1.73191113E+4,1.72676152E+4,1.71807129E+4,1.67397695E+4,1.71163418E+4,1.72804883E+4,1.65176875E+4,1.57355762E+4,
624.500,9.99967188E+3,1.01970771E+4,1.03491758E+4,1.09187363E+4,1.09381533E+4,1.08151797E+4,1.14138652E+4,1.15724365E+4,1.19963711E+4,1.20740391E+4,1.28442402E+4,1.27989336E+4,1.34623418E+4,1.32584648E+4,1.41063340E+4,1.50901201E+4,1.52033848E+4,1.54914023E+4,1.53295957E+4,1.53781367E+4,1.59994756E+4,1.59476973E+4,1.60156572E+4,1.63069102E+4,1.62745479E+4,1.63004365E+4,1.64719531E+4,1.67696777E+4,1.66499414E+4,1.72356816E+4,1.68408711E+4,1.65496191E+4,1.66823008E+4,1.58376689E+4,
625.00,9.78726563E+3,9.86210254E+3,1.05616572E+4,1.07243457E+4,1.05779268E+4,1.10790039E+4,1.08349727E+4,1.20974258E+4,1.19119619E+4,1.22666211E+4,1.25204121E+4,1.25822344E+4,1.30475186E+4,1.30377578E+4,1.44368691E+4,1.50030195E+4,1.48435869E+4,1.51787227E+4,1.57774121E+4,1.48077949E+4,1.58652617E+4,1.58229648E+4,1.58555020E+4,1.58132031E+4,1.66559219E+4,1.63012646E+4,1.64737129E+4,1.71179551E+4,1.69520137E+4,1.70105820E+4,1.67177441E+4,1.68869375E+4,1.67860742E+4,1.55138574E+4,
625.500,9.77467773E+3,9.66672461E+3,1.04191260E+4,1.03046309E+4,1.08672959E+4,1.08542109E+4,1.09163652E+4,1.13154658E+4,1.20449688E+4,1.22510605E+4,1.26076338E+4,1.26436182E+4,1.33338643E+4,1.31572139E+4,1.37296934E+4,1.48353965E+4,1.41255215E+4,1.50022334E+4,1.49139082E+4,1.49956904E+4,1.58266035E+4,1.55812559E+4,1.61635488E+4,1.59934414E+4,1.61046650E+4,1.68308965E+4,1.64481523E+4,1.64023555E+4,1.67327578E+4,1.66542461E+4,1.63336563E+4,1.59770850E+4,1.62322461E+4,1.50840156E+4,
626.00,9.73529102E+3,9.55439941E+3,1.02713906E+4,1.02746797E+4,1.03569023E+4,1.06989541E+4,1.12350527E+4,1.18731094E+4,1.16955059E+4,1.18895527E+4,1.23993408E+4,1.24124961E+4,1.34912715E+4,1.37576777E+4,1.35899414E+4,1.45996484E+4,1.43003535E+4,1.48496094E+4,1.53297949E+4,1.53034824E+4,1.57047354E+4,1.53166406E+4,1.56981582E+4,1.62145234E+4,1.57146035E+4,1.63296367E+4,1.61816328E+4,1.63822588E+4,1.62507012E+4,1.66124844E+4,1.56981563E+4,1.58198486E+4,1.59875850E+4,1.51291689E+4,
626.500,9.83450977E+3,9.78821289E+3,9.60303125E+3,1.04032832E+4,1.02147939E+4,1.07273535E+4,1.08067168E+4,1.11936152E+4,1.11638535E+4,1.20963799E+4,1.19244248E+4,1.23146309E+4,1.24270625E+4,1.28470313E+4,1.37464873E+4,1.43450234E+4,1.47054678E+4,1.44078535E+4,1.47418428E+4,1.47120820E+4,1.47153887E+4,1.54230488E+4,1.57206641E+4,1.57305840E+4,1.60381201E+4,1.64647012E+4,1.60546543E+4,1.61174844E+4,1.64613945E+4,1.62398369E+4,1.59554492E+4,1.58727783E+4,1.58926191E+4,1.45566602E+4,
627.00,9.18736816E+3,9.30707324E+3,9.78921875E+3,1.00552295E+4,1.02281367E+4,1.01283828E+4,1.05340508E+4,1.13620107E+4,1.13420596E+4,1.13985869E+4,1.20602910E+4,1.20336895E+4,1.26554912E+4,1.25723623E+4,1.39888730E+4,1.42981113E+4,1.47137539E+4,1.47303799E+4,1.47037793E+4,1.51859238E+4,1.51260713E+4,1.51493477E+4,1.52723789E+4,1.59906074E+4,1.63763262E+4,1.57644980E+4,1.54818613E+4,1.63364238E+4,1.63829746E+4,1.60072344E+4,1.60404863E+4,1.64162266E+4,1.55550156E+4,1.45075938E+4,
627.500,9.61070508E+3,9.44350391E+3,1.00387393E+4,9.97520313E+3,1.01591230E+4,1.03564199E+4,1.07911426E+4,1.09550000E+4,1.11690176E+4,1.17040596E+4,1.22491348E+4,1.26270078E+4,1.24263672E+4,1.22959502E+4,1.37338770E+4,1.35499570E+4,1.42522012E+4,1.44227451E+4,1.43658965E+4,1.45163779E+4,1.45966348E+4,1.50012598E+4,1.51417100E+4,1.51283320E+4,1.54058857E+4,1.59977773E+4,1.57035039E+4,1.54359824E+4,1.62920508E+4,1.58172012E+4,1.61582910E+4,1.57636973E+4,1.56700635E+4,1.47170186E+4,
628.00,9.40707129E+3,9.40370801E+3,9.78375781E+3,1.00494561E+4,1.02344365E+4,1.02747949E+4,1.05539473E+4,1.09508135E+4,1.11156133E+4,1.14384873E+4,1.20472402E+4,1.23970195E+4,1.22725781E+4,1.24205625E+4,1.33992754E+4,1.35304424E+4,1.39172188E+4,1.41560117E+4,1.51145439E+4,1.46605020E+4,1.49665605E+4,1.48824785E+4,1.50035566E+4,1.52221680E+4,1.54575977E+4,1.51347246E+4,1.59620889E+4,1.55786748E+4,1.51784453E+4,1.54037852E+4,1.58073779E+4,1.56291240E+4,1.49194746E+4,1.42602734E+4,
628.500,9.40388379E+3,9.23813281E+3,9.65420313E+3,9.58993262E+3,9.71509180E+3,1.00533613E+4,1.05709131E+4,1.08178496E+4,1.10343418E+4,1.14707090E+4,1.14571777E+4,1.20525322E+4,1.28542295E+4,1.23908008E+4,1.31924990E+4,1.35544473E+4,1.40178760E+4,1.43426152E+4,1.40922959E+4,1.43696758E+4,1.46233770E+4,1.48398711E+4,1.50698945E+4,1.50326836E+4,1.56077422E+4,1.53506563E+4,1.53777188E+4,1.53506563E+4,1.58817402E+4,1.50563623E+4,1.52322637E+4,1.54386074E+4,1.54622852E+4,1.39231602E+4,
629.00,9.31198145E+3,9.34940527E+3,9.50931152E+3,9.67602246E+3,9.75087207E+3,1.03394629E+4,9.98903027E+3,1.02816240E+4,1.05674141E+4,1.11287871E+4,1.16867578E+4,1.23604043E+4,1.20712129E+4,1.20269824E+4,1.29115693E+4,1.34763447E+4,1.36158379E+4,1.40411191E+4,1.42554629E+4,1.46773418E+4,1.44936201E+4,1.45650664E+4,1.51638652E+4,1.47181680E+4,1.44766094E+4,1.51876816E+4,1.50720039E+4,1.58885459E+4,1.54836777E+4,1.50311777E+4,1.54054258E+4,1.57014219E+4,1.45752754E+4,1.42316475E+4,
629.500,9.18806152E+3,9.34547363E+3,9.48577539E+3,9.87246094E+3,9.48235352E+3,1.01154229E+4,1.01667529E+4,1.05260625E+4,1.10633164E+4,1.11180684E+4,1.17716699E+4,1.18229990E+4,1.18298438E+4,1.21549336E+4,1.31438906E+4,1.36537676E+4,1.32465498E+4,1.37906475E+4,1.42081309E+4,1.43792314E+4,1.44031846E+4,1.43621211E+4,1.43347461E+4,1.50807402E+4,1.48446230E+4,1.47522285E+4,1.47522295E+4,1.48891074E+4,1.55563984E+4,1.55324443E+4,1.49027969E+4,1.48925313E+4,1.45811299E+4,1.40644072E+4,
630.00,9.09358398E+3,9.09358301E+3,9.11079297E+3,9.84736621E+3,9.52382520E+3,9.62364063E+3,9.97471777E+3,1.02535146E+4,1.05082178E+4,1.09143652E+4,1.13618164E+4,1.19228516E+4,1.18746641E+4,1.21052734E+4,1.26146797E+4,1.34304170E+4,1.31172012E+4,1.37574014E+4,1.38434492E+4,1.39329395E+4,1.42082930E+4,1.46075586E+4,1.44182510E+4,1.45696973E+4,1.49758447E+4,1.49724033E+4,1.47934219E+4,1.50068223E+4,1.49035635E+4,1.56539043E+4,1.49173320E+4,1.49242158E+4,1.51685928E+4,1.42323877E+4,
630.500,9.21957520E+3,8.75219238E+3,9.07762891E+3,9.56578613E+3,9.70426953E+3,9.59694531E+3,9.96392773E+3,1.02582061E+4,1.06286504E+4,1.12656777E+4,1.10960342E+4,1.12622148E+4,1.19027041E+4,1.18784688E+4,1.28063125E+4,1.30625078E+4,1.34433379E+4,1.38103223E+4,1.35541260E+4,1.38934121E+4,1.40838281E+4,1.41669180E+4,1.47935586E+4,1.44888926E+4,1.46446885E+4,1.50116699E+4,1.47554756E+4,1.49978223E+4,1.47935586E+4,1.46931582E+4,1.52055479E+4,1.45512109E+4,1.47658613E+4,1.36337539E+4,
