Fixed/Offset Slit,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

537.00,6.00757422E+4,6.09638750E+4,6.18505469E+4,6.28162305E+4,6.34146641E+4,6.43847344E+4,6.51367969E+4,6.61229688E+4,6.70857266E+4,6.80660313E+4,6.95101719E+4,6.96477109E+4,7.10684375E+4,7.19726641E+4,7.34753281E+4,7.54710781E+4,7.76277656E+4,7.84690781E+4,7.86300313E+4,8.12110313E+4,8.33048125E+4,8.52420313E+4,8.60555469E+4,8.86994688E+4,9.18496406E+4,9.45959844E+4,9.79934375E+4,1.01134844E+5,1.03525625E+5,1.05514063E+5,1.10134711E+5,1.11913906E+5,1.13194172E+5,1.07501031E+5,
537.500,6.03184375E+4,6.04770625E+4,6.12143984E+4,6.17989688E+4,6.35218516E+4,6.44633359E+4,6.51007891E+4,6.61876875E+4,6.79502188E+4,6.78283125E+4,6.96305078E+4,7.01915859E+4,7.16383359E+4,7.15722344E+4,7.39031953E+4,7.64177500E+4,7.74972969E+4,7.96387813E+4,8.06728047E+4,8.15922656E+4,8.33694844E+4,8.54434063E+4,8.72015391E+4,9.03197578E+4,9.21616094E+4,9.51079844E+4,9.83745625E+4,1.01190203E+5,1.03239156E+5,1.05307203E+5,1.09339008E+5,1.10588938E+5,1.10809266E+5,1.05144164E+5,
538.00,6.02793281E+4,6.05122891E+4,6.20295234E+4,6.28213125E+4,6.36057344E+4,6.48236484E+4,6.57584609E+4,6.63231797E+4,6.71886953E+4,6.84346250E+4,7.17167969E+4,7.04974063E+4,7.23390234E+4,7.26840469E+4,7.52599531E+4,7.71575938E+4,7.81631875E+4,8.00800000E+4,8.13111797E+4,8.19201406E+4,8.50224219E+4,8.64570859E+4,8.77649453E+4,9.01152500E+4,9.24124766E+4,9.63050781E+4,9.94339063E+4,1.01195898E+5,1.04270172E+5,1.06220891E+5,1.08619859E+5,1.09899703E+5,1.09256828E+5,1.02878266E+5,
538.500,6.01082383E+4,6.06396250E+4,6.13353008E+4,6.36710078E+4,6.39300391E+4,6.53524844E+4,6.60851641E+4,6.72396953E+4,6.77755156E+4,6.87746328E+4,7.07388203E+4,7.05034766E+4,7.22397188E+4,7.32787969E+4,7.47042031E+4,7.78702813E+4,7.88531094E+4,8.07003672E+4,8.20147578E+4,8.27652031E+4,8.48122813E+4,8.64952344E+4,8.91284609E+4,9.09446250E+4,9.43519844E+4,9.65115469E+4,1.00389594E+5,1.03227078E+5,1.05161664E+5,1.06308797E+5,1.08804359E+5,1.09221766E+5,1.08160484E+5,1.01780953E+5,
539.00,6.10265352E+4,6.11602656E+4,6.22345625E+4,6.32716992E+4,6.44024531E+4,6.46832813E+4,6.61587656E+4,6.74871406E+4,6.88794063E+4,6.84232422E+4,7.06906875E+4,7.12464141E+4,7.36000469E+4,7.28452188E+4,7.67545625E+4,7.84499531E+4,7.87471328E+4,8.04172578E+4,8.22835234E+4,8.37575156E+4,8.48184375E+4,8.73919766E+4,8.94722031E+4,9.29729375E+4,9.40145313E+4,9.76608828E+4,1.00932797E+5,1.04310188E+5,1.05552391E+5,1.07807953E+5,1.09179414E+5,1.09374063E+5,1.08917906E+5,1.01338438E+5,
539.500,6.15111719E+4,6.13903516E+4,6.25866250E+4,6.28521328E+4,6.39141641E+4,6.49746953E+4,6.65110625E+4,6.75104453E+4,6.82860781E+4,6.92616016E+4,7.07338203E+4,7.19867813E+4,7.31621641E+4,7.31084688E+4,7.67778359E+4,7.80770313E+4,8.07977344E+4,8.23012813E+4,8.29038984E+4,8.42299375E+4,8.66612734E+4,8.82841484E+4,9.04947188E+4,9.29185938E+4,9.52529688E+4,9.88880313E+4,1.01823523E+5,1.04381641E+5,1.07608000E+5,1.07901859E+5,1.10625539E+5,1.10856734E+5,1.09818578E+5,1.03116750E+5,
540.00,6.08035586E+4,6.13815547E+4,6.25779805E+4,6.31020703E+4,6.45201094E+4,6.54994141E+4,6.57345000E+4,6.77335391E+4,6.88446094E+4,6.90901875E+4,7.07433125E+4,7.25476875E+4,7.37096719E+4,7.45512109E+4,7.73738203E+4,7.91707031E+4,7.99448594E+4,8.15530703E+4,8.33080313E+4,8.47395469E+4,8.63013438E+4,8.90326016E+4,9.08100234E+4,9.31654375E+4,9.58757344E+4,9.97719844E+4,1.03731109E+5,1.06348570E+5,1.08832766E+5,1.10066625E+5,1.12471461E+5,1.12666117E+5,1.11766188E+5,1.05041336E+5,
540.500,6.12263438E+4,6.16998711E+4,6.24635234E+4,6.40148906E+4,6.48446914E+4,6.60954063E+4,6.62712891E+4,6.79684688E+4,6.88629063E+4,6.91560469E+4,7.11418594E+4,7.17476719E+4,7.37410000E+4,7.41348438E+4,7.75382344E+4,7.86160781E+4,8.11686094E+4,8.21397188E+4,8.39376172E+4,8.52635000E+4,8.76266250E+4,8.91764844E+4,9.15847109E+4,9.42214297E+4,9.83163125E+4,1.00141266E+5,1.05082500E+5,1.08364109E+5,1.10352938E+5,1.11471359E+5,1.14671797E+5,1.15497094E+5,1.14904813E+5,1.07952219E+5,
541.00,6.09161719E+4,6.15711367E+4,6.26924219E+4,6.40687500E+4,6.47237188E+4,6.63807422E+4,6.71096563E+4,6.78083828E+4,6.83924219E+4,7.02426172E+4,7.13774844E+4,7.18604063E+4,7.43112344E+4,7.40380859E+4,7.70201328E+4,7.95826406E+4,8.11053594E+4,8.31366563E+4,8.34882734E+4,8.60130625E+4,8.74225938E+4,8.87506328E+4,9.24148047E+4,9.54617422E+4,9.84332344E+4,1.01943469E+5,1.07036797E+5,1.09040922E+5,1.11428375E+5,1.13894297E+5,1.16449266E+5,1.17606766E+5,1.18285875E+5,1.11690961E+5,
541.500,6.06595938E+4,6.13761719E+4,6.24760469E+4,6.32577734E+4,6.42879570E+4,6.53893438E+4,6.73891094E+4,6.81056953E+4,6.87101719E+4,6.94828047E+4,7.15825625E+4,7.22112813E+4,7.38656250E+4,7.43701094E+4,7.72106875E+4,8.01345938E+4,8.10647891E+4,8.29251719E+4,8.30615234E+4,8.55733516E+4,8.80897266E+4,8.99682969E+4,9.23725625E+4,9.51540547E+4,9.93687188E+4,1.02301703E+5,1.07136000E+5,1.10347734E+5,1.13635227E+5,1.16086461E+5,1.18174094E+5,1.21335844E+5,1.22078188E+5,1.16027375E+5,
