Fixed/Offset Slit,5.9999781,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

473.00,1.45967896E+3,1.53557397E+3,1.40249780E+3,1.36403052E+3,1.38274426E+3,1.40249780E+3,1.29229407E+3,1.27981824E+3,1.31828552E+3,1.46071863E+3,1.55740674E+3,1.74246570E+3,1.89009705E+3,2.26125488E+3,2.42344141E+3,2.68335571E+3,2.82890771E+3,2.99629248E+3,3.06802881E+3,3.20734302E+3,3.29363452E+3,3.22293774E+3,3.40279858E+3,3.39136230E+3,3.11793237E+3,3.16367725E+3,3.10753589E+3,3.15224121E+3,2.97965796E+3,2.86633545E+3,2.90688208E+3,
473.2500,1.51949719E+3,1.54340173E+3,1.45505896E+3,1.51222192E+3,1.43427234E+3,1.39685657E+3,1.38854199E+3,1.33345752E+3,1.36879468E+3,1.55171643E+3,1.63590198E+3,1.73983472E+3,2.09840283E+3,2.30834717E+3,2.58272949E+3,2.80722437E+3,3.10966870E+3,3.21360156E+3,3.30298364E+3,3.42042773E+3,3.47239429E+3,3.50773145E+3,3.65323730E+3,3.56281567E+3,3.37365796E+3,3.34039966E+3,3.33208496E+3,3.24686011E+3,3.16683179E+3,3.03587646E+3,3.09719678E+3,
473.500,1.62811499E+3,1.61772498E+3,1.59175000E+3,1.56577490E+3,1.54811194E+3,1.47330383E+3,1.49720081E+3,1.33199963E+3,1.46291382E+3,1.51694189E+3,1.58863293E+3,2.01566248E+3,2.19956567E+3,2.52373413E+3,2.69932544E+3,2.97673877E+3,3.23544995E+3,3.35805225E+3,3.46091333E+3,3.58039844E+3,3.71650757E+3,3.85781177E+3,3.76534058E+3,3.73001465E+3,3.69884448E+3,3.43597729E+3,3.45987427E+3,3.31233618E+3,3.25934692E+3,3.23648901E+3,3.10869189E+3,
473.7500,1.68265784E+3,1.72212756E+3,1.66915503E+3,1.66084558E+3,1.45311011E+3,1.52997217E+3,1.42714307E+3,1.43129785E+3,1.47596094E+3,1.56217114E+3,1.79483496E+3,2.04204028E+3,2.36299170E+3,2.61850635E+3,2.96750220E+3,3.18770166E+3,3.37985718E+3,3.56993506E+3,3.77663208E+3,3.85453271E+3,3.88880908E+3,3.86284229E+3,3.91893091E+3,3.97813550E+3,3.74027832E+3,3.76936133E+3,3.57616724E+3,3.33727124E+3,3.40270801E+3,3.34350342E+3,3.22613281E+3,
474.00,1.68006177E+3,1.62191370E+3,1.66240967E+3,1.62295215E+3,1.52223145E+3,1.53780688E+3,1.44123962E+3,1.49938757E+3,1.54715210E+3,1.66967822E+3,1.95418799E+3,2.17224292E+3,2.40379663E+3,2.75372290E+3,3.19294800E+3,3.39438916E+3,3.63944165E+3,3.80142529E+3,3.91772119E+3,3.90629932E+3,4.19911621E+3,4.17419531E+3,4.27180078E+3,4.16069678E+3,3.98936792E+3,3.95406372E+3,3.78688818E+3,3.65709351E+3,3.62386621E+3,3.48991821E+3,3.31755078E+3,
474.2500,1.71520837E+3,1.72143787E+3,1.73078223E+3,1.57192822E+3,1.59892310E+3,1.60722913E+3,1.50340295E+3,1.44526025E+3,1.56985168E+3,1.65498914E+3,1.87613892E+3,2.23018628E+3,2.71713086E+3,3.09921118E+3,3.37954199E+3,3.61418896E+3,3.85714233E+3,4.04091455E+3,4.28075293E+3,4.23091650E+3,4.33889551E+3,4.40430615E+3,4.39703857E+3,4.52162988E+3,4.16965918E+3,4.05545020E+3,3.89971094E+3,3.91320850E+3,3.77408130E+3,3.63391602E+3,3.40238354E+3,
474.500,1.67352588E+3,1.61331213E+3,1.55932739E+3,1.62784644E+3,1.62369385E+3,1.57801440E+3,1.51260986E+3,1.50119006E+3,1.59670142E+3,1.72439600E+3,2.00054858E+3,2.35248730E+3,2.80201392E+3,3.14876172E+3,3.34082275E+3,3.76854761E+3,3.97410474E+3,4.12256250E+3,4.29282227E+3,4.56482227E+3,4.62192139E+3,4.77868457E+3,4.68213477E+3,4.69044043E+3,4.33123438E+3,4.29178418E+3,4.02601318E+3,3.98656274E+3,3.98656274E+3,3.89520410E+3,3.62424243E+3,
474.7500,1.60382397E+3,1.56852942E+3,1.55918677E+3,1.51039734E+3,1.51973999E+3,1.47925513E+3,1.54050146E+3,1.47198853E+3,1.52493030E+3,1.75849695E+3,2.00036804E+3,2.42390210E+3,2.72701978E+3,3.19415283E+3,3.71422778E+3,3.94364209E+3,4.20004639E+3,4.47202148E+3,4.70039795E+3,4.77410107E+3,4.94745947E+3,4.81043359E+3,4.90697461E+3,4.78136768E+3,4.62150439E+3,4.42219434E+3,4.35575732E+3,4.27997803E+3,4.15229492E+3,3.95817529E+3,3.86682471E+3,
475.00,1.53828772E+3,1.54659155E+3,1.47289490E+3,1.51130029E+3,1.48535071E+3,1.47289490E+3,1.44902136E+3,1.51233826E+3,1.55697144E+3,1.72616235E+3,2.02302490E+3,2.56069897E+3,2.84302979E+3,3.36721021E+3,3.80939014E+3,4.23392432E+3,4.37197559E+3,4.82349756E+3,4.82764941E+3,5.01033398E+3,5.01760010E+3,5.06223291E+3,5.34560205E+3,5.13385352E+3,4.81519336E+3,4.51833105E+3,4.48719141E+3,4.40311523E+3,4.33564648E+3,4.20901270E+3,4.06058154E+3,
475.2500,1.48840015E+3,1.37941687E+3,1.48217261E+3,1.44169312E+3,1.43546545E+3,1.48217261E+3,1.36799963E+3,1.43027576E+3,1.55171436E+3,1.84545020E+3,2.06964429E+3,2.64881274E+3,3.04322827E+3,3.54766528E+3,3.97529492E+3,4.36244482E+3,4.69147070E+3,4.94161328E+3,5.05993799E+3,5.21043848E+3,5.32461182E+3,5.34952197E+3,5.43359473E+3,5.24572852E+3,4.79941602E+3,4.95925830E+3,4.69666016E+3,4.71326709E+3,4.40603809E+3,4.28044824E+3,4.25657568E+3,
