Fixed/Offset Slit,5.9999781,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

618.2500,2.73378145E+4,2.50929160E+4,2.78049629E+4,2.96735488E+4,3.07830215E+4,3.15810645E+4,3.16783867E+4,3.25056250E+4,3.40822461E+4,3.63303906E+4,3.88834766E+4,4.09921250E+4,4.46773945E+4,4.77365547E+4,5.11460781E+4,5.53341797E+4,5.62846914E+4,5.97136797E+4,6.11864883E+4,6.37947227E+4,6.40769570E+4,6.40574922E+4,6.70193359E+4,6.56178906E+4,5.28686797E+4,5.35921094E+4,5.46788750E+4,5.55028711E+4,5.52173906E+4,5.60543633E+4,5.58305195E+4,
618.500,5.54071523E+4,4.97662422E+4,4.40082188E+4,3.94896328E+4,3.68090625E+4,3.55078125E+4,3.43464492E+4,3.46880273E+4,3.40927070E+4,3.49027344E+4,3.65162813E+4,3.71994375E+4,4.04395469E+4,4.28826406E+4,4.55599570E+4,4.93238164E+4,5.09666445E+4,5.34520273E+4,5.60317539E+4,5.74924063E+4,5.83219492E+4,5.97077813E+4,6.14742227E+4,6.10936094E+4,5.02639688E+4,5.10284531E+4,5.12171328E+4,5.18092031E+4,5.26289883E+4,5.30258711E+4,5.38131250E+4,
618.7500,8.41087891E+4,7.79595781E+4,6.44019609E+4,5.42891992E+4,4.74223125E+4,4.31945273E+4,4.04216719E+4,3.75281211E+4,3.58774570E+4,3.55903828E+4,3.69637617E+4,3.72540977E+4,3.92407656E+4,4.07478906E+4,4.40329063E+4,4.61207031E+4,4.91480039E+4,5.11803438E+4,5.36204531E+4,5.50297148E+4,5.65955625E+4,5.72055898E+4,6.01187148E+4,6.02394180E+4,4.88413594E+4,4.88152617E+4,5.11151016E+4,5.10955273E+4,5.16011641E+4,5.21981445E+4,5.25276250E+4,
619.00,8.18303828E+4,7.71492188E+4,6.31122773E+4,5.27914727E+4,4.67363867E+4,4.26996602E+4,3.92157773E+4,3.76488477E+4,3.65627891E+4,3.58660117E+4,3.61898672E+4,3.75703359E+4,3.79596172E+4,4.08677578E+4,4.32296016E+4,4.57157539E+4,4.90066367E+4,5.18002852E+4,5.33966563E+4,5.52678125E+4,5.64062070E+4,5.94026758E+4,6.22650234E+4,6.18659297E+4,4.97230391E+4,4.95921914E+4,5.17871992E+4,5.35863906E+4,5.27293203E+4,5.39200586E+4,5.44892539E+4,
619.2500,6.39530078E+4,6.04040703E+4,5.04001406E+4,4.43354609E+4,4.06028438E+4,3.92121328E+4,3.74081484E+4,3.61355156E+4,3.60436758E+4,3.49842422E+4,3.55680781E+4,3.73294258E+4,4.02256484E+4,4.37253828E+4,4.45322578E+4,4.85010313E+4,5.17088516E+4,5.46641094E+4,5.80720078E+4,5.91708008E+4,6.12175039E+4,6.29165352E+4,6.61440313E+4,6.50813203E+4,5.32570000E+4,5.41163555E+4,5.64877773E+4,5.73110508E+4,5.77013711E+4,5.81048086E+4,5.86525625E+4,
619.500,5.64902422E+4,5.44676836E+4,4.81270430E+4,4.29538945E+4,4.08622734E+4,3.88134063E+4,3.77577266E+4,3.72282461E+4,3.70868281E+4,3.75571172E+4,3.86522578E+4,4.12569180E+4,4.34899570E+4,4.72029141E+4,5.12776328E+4,5.45893672E+4,5.87989219E+4,6.15318438E+4,6.51066758E+4,6.71752734E+4,6.85137813E+4,7.03061328E+4,7.45354219E+4,7.38184766E+4,6.00091680E+4,6.12819023E+4,6.19264883E+4,6.32025078E+4,6.35741328E+4,6.45508828E+4,6.33209023E+4,
619.7500,4.67777891E+4,4.64480430E+4,4.36320117E+4,4.18315977E+4,4.20393398E+4,4.16832109E+4,4.04070938E+4,4.14391992E+4,4.14260117E+4,4.31176094E+4,4.50202422E+4,4.71800820E+4,5.18393945E+4,5.64162695E+4,6.07392422E+4,6.50358359E+4,7.10570000E+4,7.43544609E+4,7.82124922E+4,8.05998516E+4,8.35444844E+4,8.41413281E+4,8.68947109E+4,8.80092500E+4,6.94940000E+4,6.96753672E+4,7.16373516E+4,7.36422109E+4,7.23562031E+4,7.32333281E+4,7.20396406E+4,
620.00,3.30258320E+4,3.34391094E+4,3.48938438E+4,3.75818008E+4,4.02763711E+4,4.31131055E+4,4.38867617E+4,4.60920117E+4,4.75963398E+4,5.05355703E+4,5.32400586E+4,5.85663789E+4,6.42332383E+4,7.00488828E+4,7.54082656E+4,8.10222266E+4,8.77239297E+4,8.99523203E+4,9.44091094E+4,9.69714297E+4,9.91138594E+4,1.00813258E+5,1.03530969E+5,1.02327508E+5,8.21132734E+4,8.26786406E+4,8.22322969E+4,8.35448672E+4,8.19611875E+4,8.26422734E+4,8.21033594E+4,
620.2500,2.53781074E+4,2.73374102E+4,3.31258047E+4,3.87451250E+4,4.32936250E+4,4.71923398E+4,5.16811641E+4,5.52085703E+4,5.86066836E+4,6.48691602E+4,6.98453203E+4,7.73510078E+4,8.29338594E+4,9.24817344E+4,9.76103984E+4,1.05520539E+5,1.12714602E+5,1.16696195E+5,1.19464414E+5,1.22060242E+5,1.22517742E+5,1.23562039E+5,1.25474930E+5,1.22119914E+5,9.66025703E+4,9.74048516E+4,9.69009375E+4,9.74479531E+4,9.52267422E+4,9.51538125E+4,9.21303203E+4,
620.500,2.74184805E+4,2.99681855E+4,3.68128320E+4,4.25671250E+4,4.81851211E+4,5.40956523E+4,5.90720664E+4,6.48230313E+4,7.03313281E+4,7.86984844E+4,8.54467266E+4,9.41961719E+4,1.03517391E+5,1.14088531E+5,1.22375906E+5,1.29220555E+5,1.36863031E+5,1.39017141E+5,1.45339891E+5,1.45240156E+5,1.43717641E+5,1.43701031E+5,1.45416344E+5,1.40416656E+5,1.10784219E+5,1.09989727E+5,1.08783016E+5,1.06050477E+5,1.04614398E+5,1.03015430E+5,1.00688453E+5,
620.7500,3.61862578E+4,3.66795859E+4,4.27161836E+4,4.83961211E+4,5.40593906E+4,5.90993359E+4,6.62792500E+4,7.25558516E+4,8.18624141E+4,9.16123047E+4,1.02368844E+5,1.13152063E+5,1.24578594E+5,1.36791797E+5,1.46155016E+5,1.53834938E+5,1.58218219E+5,1.62198172E+5,1.64668141E+5,1.65724797E+5,1.63818156E+5,1.61194844E+5,1.60661516E+5,1.54268266E+5,1.19755320E+5,1.19425320E+5,1.15835359E+5,1.14642039E+5,1.11048750E+5,1.09068773E+5,1.06035469E+5,
621.00,4.43763359E+4,4.52353164E+4,4.92728711E+4,5.33639063E+4,5.91194258E+4,6.45574219E+4,7.13557578E+4,7.75190469E+4,8.77499688E+4,9.77970625E+4,1.10157055E+5,1.23085258E+5,1.34469281E+5,1.46227656E+5,1.55853625E+5,1.62468125E+5,1.67401422E+5,1.70780547E+5,1.73695063E+5,1.71034563E+5,1.68591297E+5,1.66806484E+5,1.64496922E+5,1.55953891E+5,1.23827258E+5,1.19996930E+5,1.17794320E+5,1.15227398E+5,1.11233297E+5,1.10013336E+5,1.05534594E+5,
621.2500,5.66548984E+4,5.76303750E+4,5.75398672E+4,5.99970039E+4,6.43112383E+4,6.94635078E+4,7.37073516E+4,7.95769844E+4,8.67975391E+4,9.59690547E+4,1.07778727E+5,1.19849867E+5,1.30905297E+5,1.40971844E+5,1.49030438E+5,1.55258750E+5,1.61624516E+5,1.63954266E+5,1.65157688E+5,1.67480734E+5,1.63132984E+5,1.60166328E+5,1.61580938E+5,1.53978234E+5,1.19849867E+5,1.17748055E+5,1.13698648E+5,1.12817023E+5,1.10980039E+5,1.07497148E+5,1.04654508E+5,
621.500,6.69306172E+4,6.57572813E+4,6.50142813E+4,6.52798789E+4,6.68028594E+4,6.95899531E+4,7.23333438E+4,7.56852578E+4,8.10207422E+4,8.94055625E+4,9.96697344E+4,1.07641031E+5,1.18715445E+5,1.28673672E+5,1.38093984E+5,1.45695469E+5,1.50045891E+5,1.54658547E+5,1.56931250E+5,1.59489734E+5,1.58844234E+5,1.56608500E+5,1.57865891E+5,1.47679047E+5,1.17142031E+5,1.15568617E+5,1.13208492E+5,1.10370969E+5,1.07634305E+5,1.05028758E+5,1.02500539E+5,
621.7500,6.77303125E+4,6.50328320E+4,6.36065391E+4,6.42370742E+4,6.46450664E+4,6.69514141E+4,6.86845391E+4,7.16450234E+4,7.75288984E+4,8.44816484E+4,9.37812031E+4,1.05181422E+5,1.14497836E+5,1.23676008E+5,1.32490016E+5,1.40208188E+5,1.46904672E+5,1.53810219E+5,1.54767813E+5,1.57623781E+5,1.55755766E+5,1.54855484E+5,1.57559703E+5,1.50694625E+5,1.17846086E+5,1.17313336E+5,1.15711703E+5,1.14507953E+5,1.09817711E+5,1.09349031E+5,1.05080266E+5,
622.00,6.05767188E+4,5.99984414E+4,6.02216367E+4,6.41004688E+4,6.63019688E+4,6.71812109E+4,7.08233203E+4,7.57335781E+4,8.15433672E+4,8.96899297E+4,1.00951047E+5,1.09790859E+5,1.22580516E+5,1.31501484E+5,1.41765000E+5,1.51115453E+5,1.58359094E+5,1.62221016E+5,1.65893563E+5,1.67127891E+5,1.67198906E+5,1.67239484E+5,1.67161703E+5,1.62346141E+5,1.26790758E+5,1.26902352E+5,1.22766516E+5,1.21454406E+5,1.17545141E+5,1.15489055E+5,1.12614594E+5,
622.2500,6.25375039E+4,6.16489063E+4,6.48607422E+4,6.90798828E+4,7.31090859E+4,7.54662422E+4,7.98651328E+4,8.55019531E+4,9.04299297E+4,1.01835844E+5,1.13014516E+5,1.25885602E+5,1.38152969E+5,1.49487672E+5,1.58675484E+5,1.69189406E+5,1.76335484E+5,1.79333641E+5,1.84187016E+5,1.84044563E+5,1.83044047E+5,1.81368594E+5,1.79889859E+5,1.70607094E+5,1.34418828E+5,1.30698266E+5,1.30203094E+5,1.26262063E+5,1.22809430E+5,1.19095641E+5,1.15127477E+5,
622.500,8.95915078E+4,8.50675391E+4,8.52920391E+4,8.75608203E+4,8.97343672E+4,9.16936172E+4,9.43059531E+4,9.95748438E+4,1.04122617E+5,1.13673961E+5,1.23443008E+5,1.35899219E+5,1.46300938E+5,1.57304703E+5,1.66036297E+5,1.73250828E+5,1.79686422E+5,1.81615063E+5,1.83285188E+5,1.81084438E+5,1.80996000E+5,1.76771359E+5,1.75495813E+5,1.65233547E+5,1.29664305E+5,1.25742406E+5,1.23432797E+5,1.18123094E+5,1.15167211E+5,1.13585523E+5,1.08561539E+5,
622.7500,1.51376766E+5,1.40859453E+5,1.29509789E+5,1.19688414E+5,1.14277953E+5,1.12029852E+5,1.08424023E+5,1.08383086E+5,1.09754461E+5,1.13708258E+5,1.20503734E+5,1.27329914E+5,1.36005063E+5,1.41289297E+5,1.48361094E+5,1.51943047E+5,1.54525469E+5,1.57646875E+5,1.56081063E+5,1.55463594E+5,1.53195031E+5,1.50718359E+5,1.49575547E+5,1.40798063E+5,1.11217945E+5,1.08041945E+5,1.05309430E+5,1.03644672E+5,1.00465266E+5,9.69276563E+4,9.43964063E+4,
623.00,2.15706688E+5,1.99274141E+5,1.71866031E+5,1.49456453E+5,1.33520000E+5,1.22335742E+5,1.13737992E+5,1.07644641E+5,1.03135359E+5,1.00962828E+5,1.01387070E+5,1.02779539E+5,1.05554219E+5,1.09912969E+5,1.12807398E+5,1.16297133E+5,1.17987258E+5,1.20868000E+5,1.20943266E+5,1.20495078E+5,1.19585008E+5,1.17138773E+5,1.18182273E+5,1.11175430E+5,8.76676172E+4,8.52350703E+4,8.58098516E+4,8.47560859E+4,8.15024219E+4,7.92683047E+4,7.77081875E+4,
623.2500,2.66791688E+5,2.45868859E+5,2.04548188E+5,1.68562859E+5,1.45927922E+5,1.26947102E+5,1.11373359E+5,1.00805586E+5,9.27974063E+4,8.62577422E+4,8.29192813E+4,8.04729141E+4,8.14336172E+4,8.37221563E+4,8.54377109E+4,8.76713516E+4,8.92633750E+4,9.13803672E+4,8.97437344E+4,9.08245234E+4,9.13700703E+4,9.01932031E+4,9.19773750E+4,8.72012891E+4,6.99977813E+4,6.93458672E+4,6.88517891E+4,6.55682344E+4,6.55853906E+4,6.37703398E+4,6.33586094E+4,
623.500,3.10613375E+5,2.86386031E+5,2.27446859E+5,1.81861828E+5,1.50642563E+5,1.27543805E+5,1.10046828E+5,9.48449375E+4,8.24232969E+4,7.35733047E+4,6.70768828E+4,6.42725508E+4,6.30957656E+4,6.20462891E+4,6.49744961E+4,6.52119180E+4,6.54768672E+4,6.79956016E+4,6.88902344E+4,6.87113125E+4,6.94166953E+4,6.93547578E+4,7.01358438E+4,6.64644063E+4,5.35025391E+4,5.34337188E+4,5.29795195E+4,5.27076914E+4,5.18371445E+4,5.10044453E+4,4.97381953E+4,
623.7500,2.76630375E+5,2.57710063E+5,2.01470250E+5,1.57328641E+5,1.29712539E+5,1.05975039E+5,9.11887109E+4,7.77240000E+4,6.69197969E+4,5.94110352E+4,5.43453789E+4,5.03287422E+4,4.99112031E+4,4.95971875E+4,4.98145820E+4,5.02459219E+4,5.20126914E+4,5.35620664E+4,5.46593945E+4,5.42729141E+4,5.48940430E+4,5.49354492E+4,5.72853906E+4,5.35206563E+4,4.42347695E+4,4.27854688E+4,4.36032891E+4,4.27647656E+4,4.23575781E+4,4.14155313E+4,4.16087734E+4,
624.00,1.71463656E+5,1.62099391E+5,1.25718563E+5,9.85912578E+4,8.14407344E+4,6.91453828E+4,6.03624883E+4,5.28288555E+4,4.71223984E+4,4.23952773E+4,3.96060703E+4,3.80315156E+4,3.80107539E+4,3.86198125E+4,3.93015391E+4,4.05265781E+4,4.23122266E+4,4.29697305E+4,4.39663711E+4,4.44266250E+4,4.46515625E+4,4.48834180E+4,4.53678984E+4,4.36480000E+4,3.53219023E+4,3.46332500E+4,3.51592539E+4,3.52803750E+4,3.47785938E+4,3.45259727E+4,3.41418516E+4,
624.2500,1.12349898E+5,1.03894164E+5,8.28780000E+4,6.56230313E+4,5.65670273E+4,5.08593203E+4,4.37186133E+4,3.94369648E+4,3.62135859E+4,3.41872617E+4,3.29312188E+4,3.20950137E+4,3.28063086E+4,3.37847734E+4,3.51865469E+4,3.62031758E+4,3.73585977E+4,3.85174883E+4,3.87222031E+4,3.92530703E+4,3.89581445E+4,3.84342148E+4,4.00615156E+4,3.80664219E+4,3.01346172E+4,2.99819473E+4,3.03983164E+4,3.05579238E+4,3.04017852E+4,3.05405742E+4,3.03566797E+4,
624.500,1.04885930E+5,9.82272813E+4,7.86200938E+4,6.30345352E+4,5.32448555E+4,4.54172891E+4,4.12565000E+4,3.65773555E+4,3.37420352E+4,3.17799258E+4,3.01135234E+4,3.04579375E+4,2.99534941E+4,3.00509023E+4,3.13207090E+4,3.30010273E+4,3.26566133E+4,3.37315977E+4,3.48344180E+4,3.43264961E+4,3.39368555E+4,3.44308633E+4,3.50292344E+4,3.30497305E+4,2.61788652E+4,2.63562910E+4,2.74138828E+4,2.75356445E+4,2.77478594E+4,2.69581445E+4,2.64258691E+4,
624.7500,1.03799438E+5,9.54070234E+4,7.57793750E+4,6.10909102E+4,5.11393086E+4,4.46444297E+4,3.96285156E+4,3.46998047E+4,3.24499688E+4,2.98164375E+4,2.82956191E+4,2.81665586E+4,2.81595820E+4,2.78665801E+4,2.89025508E+4,3.04338359E+4,3.06291699E+4,3.07268379E+4,3.26557676E+4,3.15116641E+4,3.11663398E+4,3.09465898E+4,3.23662539E+4,3.10303047E+4,2.51911934E+4,2.47865723E+4,2.48423809E+4,2.46714629E+4,2.47133203E+4,2.52679316E+4,2.46819277E+4,
625.00,8.32399453E+4,7.78855391E+4,6.21440547E+4,5.05923750E+4,4.35627422E+4,3.73025195E+4,3.35883555E+4,3.02938711E+4,2.82199551E+4,2.60900801E+4,2.50653633E+4,2.53976094E+4,2.54011074E+4,2.60166367E+4,2.65692148E+4,2.71497715E+4,2.75939336E+4,2.84472813E+4,2.90663086E+4,2.90558164E+4,2.89928652E+4,2.87095801E+4,2.86291426E+4,2.79786387E+4,2.26941738E+4,2.27151582E+4,2.25053184E+4,2.28760352E+4,2.30334141E+4,2.30369121E+4,2.14631133E+4,
625.2500,5.60370000E+4,5.42908867E+4,4.39334023E+4,3.65281875E+4,3.20121270E+4,2.85234023E+4,2.59953906E+4,2.40003301E+4,2.33867344E+4,2.23769336E+4,2.30676660E+4,2.21279883E+4,2.22822637E+4,2.39792930E+4,2.42457676E+4,2.49014375E+4,2.52906328E+4,2.58446211E+4,2.65353535E+4,2.63319902E+4,2.65283418E+4,2.69771426E+4,2.73242617E+4,2.66300234E+4,2.12198691E+4,2.19035879E+4,2.15459492E+4,2.06728926E+4,2.07710664E+4,2.02311035E+4,2.01189043E+4,
625.500,3.36755625E+4,3.25893672E+4,2.78895527E+4,2.52039434E+4,2.26659727E+4,2.13020781E+4,1.98643633E+4,1.95479961E+4,1.86656816E+4,1.92667813E+4,1.89785352E+4,1.97694531E+4,2.02299434E+4,2.11157734E+4,2.18750547E+4,2.19523887E+4,2.24199102E+4,2.38119258E+4,2.41423555E+4,2.42478105E+4,2.37205313E+4,2.39419883E+4,2.53340059E+4,2.40263535E+4,1.95550254E+4,1.95269043E+4,1.95093281E+4,1.92105371E+4,1.93441152E+4,1.89890801E+4,1.97835137E+4,
625.7500,2.31218945E+4,2.25967969E+4,1.97034766E+4,1.82303848E+4,1.79449297E+4,1.67431973E+4,1.63766865E+4,1.63837354E+4,1.63555420E+4,1.73740195E+4,1.72929629E+4,1.81775234E+4,1.81599023E+4,1.95202207E+4,2.03166777E+4,2.03660156E+4,2.08805391E+4,2.16029883E+4,2.24487832E+4,2.21739004E+4,2.30232188E+4,2.26496582E+4,2.31888535E+4,2.28470117E+4,1.77651992E+4,1.82973438E+4,1.79484531E+4,1.84982207E+4,1.79096875E+4,1.83537305E+4,1.74374531E+4,
626.00,1.70931348E+4,1.68528848E+4,1.52241260E+4,1.50545371E+4,1.46340977E+4,1.46093662E+4,1.49803418E+4,1.44609756E+4,1.52665225E+4,1.54961738E+4,1.58000205E+4,1.64324453E+4,1.78209531E+4,1.79870098E+4,1.87713574E+4,1.92942559E+4,1.97217617E+4,2.06509668E+4,2.12621934E+4,2.11597324E+4,2.15059766E+4,2.15978379E+4,2.18628203E+4,2.16437676E+4,1.67574902E+4,1.75029746E+4,1.74888418E+4,1.71531973E+4,1.71885293E+4,1.71849961E+4,1.72097266E+4,
626.2500,1.46009004E+4,1.47815957E+4,1.39560654E+4,1.34068936E+4,1.30880195E+4,1.32439131E+4,1.35734170E+4,1.38745762E+4,1.31907676E+4,1.43174570E+4,1.51252715E+4,1.53413975E+4,1.67196426E+4,1.70101738E+4,1.80341133E+4,1.86931211E+4,1.88064980E+4,1.91608027E+4,1.99296445E+4,2.04079570E+4,2.00749102E+4,2.02697773E+4,2.10209043E+4,2.07197441E+4,1.67905039E+4,1.63936836E+4,1.71022930E+4,1.68790801E+4,1.68259355E+4,1.65354043E+4,1.61704707E+4,
626.500,1.36968652E+4,1.39100459E+4,1.27339990E+4,1.26842568E+4,1.28832256E+4,1.25883252E+4,1.27588701E+4,1.32633984E+4,1.30288994E+4,1.38567510E+4,1.45815654E+4,1.52744033E+4,1.59743467E+4,1.63651787E+4,1.74737188E+4,1.75483320E+4,1.80919434E+4,1.93106270E+4,1.90192793E+4,1.89233477E+4,1.94065586E+4,2.04653555E+4,2.05719453E+4,1.93710273E+4,1.65819121E+4,1.62905654E+4,1.62337168E+4,1.65250645E+4,1.65108516E+4,1.65215117E+4,1.59459229E+4,
626.7500,1.35001885E+4,1.33897354E+4,1.30191846E+4,1.24811719E+4,1.22139473E+4,1.18540850E+4,1.24063486E+4,1.25738096E+4,1.32436533E+4,1.35073145E+4,1.40453271E+4,1.46866660E+4,1.53885762E+4,1.63470215E+4,1.62864512E+4,1.72270820E+4,1.80893262E+4,1.84420625E+4,1.91439727E+4,1.89408828E+4,1.98779492E+4,1.90335195E+4,2.03447031E+4,2.02235605E+4,1.63398955E+4,1.62508213E+4,1.61225527E+4,1.68173379E+4,1.65608008E+4,1.70560586E+4,1.70952500E+4,
627.00,1.27055674E+4,1.26233887E+4,1.19159355E+4,1.19659580E+4,1.18694873E+4,1.18409033E+4,1.24054355E+4,1.19445195E+4,1.29413848E+4,1.34165938E+4,1.41669219E+4,1.47064443E+4,1.51745068E+4,1.62499775E+4,1.66001309E+4,1.70967773E+4,1.81936875E+4,1.86796133E+4,1.98658477E+4,2.02695957E+4,1.98837129E+4,2.13807969E+4,2.16845020E+4,2.08877246E+4,1.66894570E+4,1.70431816E+4,1.78613984E+4,1.81543828E+4,1.82544277E+4,1.82508555E+4,1.82651465E+4,
627.2500,1.25893584E+4,1.27470391E+4,1.20876475E+4,1.18941309E+4,1.16970303E+4,1.17507852E+4,1.20625625E+4,1.25499385E+4,1.32308320E+4,1.40228184E+4,1.50083213E+4,1.60296611E+4,1.69434922E+4,1.79039102E+4,1.93982910E+4,1.93911250E+4,2.07815801E+4,2.11865313E+4,2.25088984E+4,2.30607813E+4,2.28708477E+4,2.42792207E+4,2.44763223E+4,2.44010645E+4,1.96204785E+4,2.01006875E+4,1.94341270E+4,1.97172363E+4,1.97781582E+4,1.96706484E+4,1.93230352E+4,
627.500,1.26376494E+4,1.24471494E+4,1.23608857E+4,1.24938760E+4,1.20949063E+4,1.26951582E+4,1.30617793E+4,1.35793623E+4,1.43090107E+4,1.55382695E+4,1.60738242E+4,1.82555801E+4,1.87156543E+4,2.08219277E+4,2.19181973E+4,2.27089492E+4,2.38878887E+4,2.47433379E+4,2.52501387E+4,2.54118828E+4,2.59294648E+4,2.68352363E+4,2.71371582E+4,2.60265117E+4,2.09621074E+4,2.06170527E+4,2.04193633E+4,2.08794375E+4,1.97580078E+4,1.98083281E+4,1.90319551E+4,
627.7500,1.27834150E+4,1.27581797E+4,1.32989336E+4,1.27978350E+4,1.29023809E+4,1.32340430E+4,1.41857695E+4,1.50005049E+4,1.54186875E+4,1.65650859E+4,1.83675977E+4,1.89407969E+4,2.09848457E+4,2.17779512E+4,2.25854766E+4,2.46331289E+4,2.52243535E+4,2.56064863E+4,2.58444180E+4,2.57759219E+4,2.59201230E+4,2.57110313E+4,2.63238848E+4,2.44132227E+4,1.95644648E+4,1.89588223E+4,1.92724590E+4,1.89876621E+4,1.90128965E+4,1.81909512E+4,1.77078789E+4,
628.00,1.28358906E+4,1.28395068E+4,1.23947695E+4,1.23947695E+4,1.26804141E+4,1.28865107E+4,1.37398262E+4,1.45714473E+4,1.46871514E+4,1.60575186E+4,1.71241621E+4,1.87187051E+4,1.93478457E+4,2.09243105E+4,2.13871250E+4,2.23055234E+4,2.25513945E+4,2.31226816E+4,2.30142090E+4,2.28044961E+4,2.32130762E+4,2.22693672E+4,2.33468574E+4,2.15896074E+4,1.65637227E+4,1.69469922E+4,1.69686855E+4,1.67589727E+4,1.60177451E+4,1.60575186E+4,1.54862305E+4,
628.2500,1.16110234E+4,1.18394727E+4,1.13209287E+4,1.14949854E+4,1.17814531E+4,1.18866123E+4,1.25248203E+4,1.26118486E+4,1.31448965E+4,1.42835166E+4,1.58355215E+4,1.59443066E+4,1.68000840E+4,1.75652090E+4,1.85696602E+4,1.80184805E+4,1.89866699E+4,1.86820703E+4,1.89612871E+4,1.90338105E+4,1.88488750E+4,1.81997891E+4,1.85986699E+4,1.82251719E+4,1.43379092E+4,1.44104326E+4,1.39499082E+4,1.36453096E+4,1.29853447E+4,1.32645605E+4,1.30759990E+4,
628.500,1.08844404E+4,1.06516963E+4,1.10117227E+4,1.08662578E+4,1.09935400E+4,1.09789932E+4,1.10626357E+4,1.16190400E+4,1.24627393E+4,1.27100303E+4,1.39937617E+4,1.43537881E+4,1.47647275E+4,1.53393154E+4,1.62084707E+4,1.62993857E+4,1.63357529E+4,1.66412305E+4,1.71430840E+4,1.61757402E+4,1.63648457E+4,1.58702637E+4,1.67539648E+4,1.62957500E+4,1.24518291E+4,1.20663457E+4,1.21463516E+4,1.20336162E+4,1.22481777E+4,1.18590576E+4,1.17099561E+4,
628.7500,9.49341699E+3,9.44965137E+3,9.32929688E+3,9.57365332E+3,1.03504863E+4,9.85083301E+3,1.01900137E+4,1.06677852E+4,1.11929678E+4,1.15759141E+4,1.21922754E+4,1.27831064E+4,1.31988760E+4,1.37350010E+4,1.43404209E+4,1.41726533E+4,1.43768916E+4,1.51026660E+4,1.45227754E+4,1.42346543E+4,1.48728975E+4,1.41945361E+4,1.43805391E+4,1.40231221E+4,1.14810898E+4,1.10543779E+4,1.13279111E+4,1.07662568E+4,1.11492031E+4,1.08610811E+4,1.08720225E+4,
629.00,9.10010645E+3,9.24275293E+3,9.16228516E+3,9.37442578E+3,9.53536035E+3,9.70726758E+3,1.02815107E+4,1.01937285E+4,1.06801885E+4,1.11520195E+4,1.14848604E+4,1.25272764E+4,1.23114775E+4,1.30978613E+4,1.33758389E+4,1.33575508E+4,1.35952949E+4,1.33392637E+4,1.36099258E+4,1.32441660E+4,1.36574746E+4,1.32514805E+4,1.41219893E+4,1.31271221E+4,1.05960645E+4,1.05192549E+4,1.10240029E+4,1.02778525E+4,1.01059453E+4,9.74384375E+3,1.00364512E+4,
629.2500,8.96075000E+3,8.91673438E+3,8.71866699E+3,8.68198730E+3,9.01943652E+3,9.22850879E+3,9.43391309E+3,9.98043359E+3,1.03435586E+4,1.08680732E+4,1.15796514E+4,1.14476055E+4,1.17557119E+4,1.21225049E+4,1.25333125E+4,1.25773271E+4,1.28267471E+4,1.32522266E+4,1.33402568E+4,1.27460527E+4,1.30798340E+4,1.26176748E+4,1.32485586E+4,1.21371758E+4,1.02298535E+4,9.44491602E+3,1.00574609E+4,9.76402637E+3,9.77503027E+3,9.62831250E+3,9.76402637E+3,
629.500,8.41221875E+3,8.40118359E+3,8.41589746E+3,9.00074316E+3,9.26190039E+3,9.25822266E+3,9.51202344E+3,9.58558887E+3,9.78789453E+3,1.03359580E+4,1.08619512E+4,1.11047178E+4,1.13033447E+4,1.17373809E+4,1.20022168E+4,1.17851982E+4,1.18477295E+4,1.23774014E+4,1.22670527E+4,1.21493477E+4,1.24105059E+4,1.19065820E+4,1.21125654E+4,1.19764688E+4,9.38696191E+3,9.51937988E+3,9.38696191E+3,9.32443164E+3,9.15523047E+3,9.16994434E+3,8.93453418E+3,
629.7500,8.07812744E+3,8.21829590E+3,8.35108691E+3,8.87118555E+3,8.80847852E+3,8.95233594E+3,9.16627734E+3,9.04824023E+3,9.59047070E+3,1.00257305E+4,1.02950020E+4,1.10216641E+4,1.08335439E+4,1.11728984E+4,1.14790566E+4,1.16266016E+4,1.12503604E+4,1.16118477E+4,1.15602061E+4,1.13683965E+4,1.15565176E+4,1.09774004E+4,1.16339795E+4,1.12946240E+4,8.72732910E+3,8.71626270E+3,8.73470605E+3,8.42486035E+3,8.43223730E+3,8.75314941E+3,8.72732910E+3,
